time_us curve_0 curve_0_5 curve_1 curve_5
0.0000000000e+00 9.3566842083e-01 9.2321128052e-01 8.9316146860e-01 7.4633486088e-01
5.0251256281e-01 6.5939275933e-01 5.7878175814e-02 9.0687937533e-02 2.6548642318e-01
1.0050251256e+00 4.9292758262e-01 5.3554350436e-02 8.5151476111e-02 2.4739131181e-01
1.5075376884e+00 3.9520427180e-01 4.8097200641e-02 7.6763130569e-02 2.2613549463e-01
2.0100502513e+00 3.2241898493e-01 4.5283111236e-02 7.2930531240e-02 2.1800524794e-01
2.5125628141e+00 2.7239166160e-01 4.2505115308e-02 7.1898462817e-02 2.0890163602e-01
3.0150753769e+00 2.3706739063e-01 3.9887161634e-02 6.3962631101e-02 1.9894248695e-01
3.5175879397e+00 2.0631343278e-01 3.6825319259e-02 6.3678129996e-02 1.8384651389e-01
4.0201005025e+00 1.8319422664e-01 3.5667414743e-02 5.9227709609e-02 1.8371350529e-01
4.5226130653e+00 1.6199661481e-01 3.3802393702e-02 5.5315440678e-02 1.7007866816e-01
5.0251256281e+00 1.4394055102e-01 3.2376332477e-02 5.3402729700e-02 1.6387713663e-01
5.5276381910e+00 1.2814117258e-01 3.1217240291e-02 5.1268836782e-02 1.5344631167e-01
6.0301507538e+00 1.1636448451e-01 2.8882859661e-02 4.8617218410e-02 1.4727176139e-01
6.5326633166e+00 1.0799717560e-01 2.8295457069e-02 4.6773915607e-02 1.4532162965e-01
7.0351758794e+00 9.9133242727e-02 2.7169048719e-02 4.3666341072e-02 1.3703982155e-01
7.5376884422e+00 9.1260002720e-02 2.5957737805e-02 4.3126324289e-02 1.2927533296e-01
8.0402010050e+00 8.4342513726e-02 2.4363724739e-02 4.0790718057e-02 1.2251417055e-01
8.5427135678e+00 7.9055690723e-02 2.4071840840e-02 3.9349896501e-02 1.2163001735e-01
9.0452261307e+00 7.3444880051e-02 2.3117033073e-02 3.7220463660e-02 1.1848671958e-01
9.5477386935e+00 6.8483182645e-02 2.2276287963e-02 3.6650408779e-02 1.1433969401e-01
1.0050251256e+01 6.4297213396e-02 2.1361585537e-02 3.5585502686e-02 1.0966039392e-01
1.0552763819e+01 6.0347758011e-02 2.0869347468e-02 3.3792444335e-02 1.0460943891e-01
1.1055276382e+01 5.6749736184e-02 2.1185592210e-02 3.3088925640e-02 1.0248528459e-01
1.1557788945e+01 5.4033717193e-02 1.9909855153e-02 3.2802193645e-02 9.8734025877e-02
1.2060301508e+01 5.0512268222e-02 1.9353054806e-02 3.0825943325e-02 9.3564059527e-02
1.2562814070e+01 4.8516933254e-02 1.9168294409e-02 3.0737406631e-02 9.3809479951e-02
1.3065326633e+01 4.6370689027e-02 1.8185685995e-02 2.9145832324e-02 9.3084674651e-02
1.3567839196e+01 4.3923668334e-02 1.8334130982e-02 2.9300265160e-02 9.3571359467e-02
1.4070351759e+01 4.1849859935e-02 1.6989216646e-02 2.8762402903e-02 9.0949801660e-02
1.4572864322e+01 4.0798952943e-02 1.7236414230e-02 2.8899729875e-02 8.6421503532e-02
1.5075376884e+01 3.9162185993e-02 1.6287220829e-02 2.7295638385e-02 8.5476994244e-02
1.5577889447e+01 3.7672976678e-02 1.5471196126e-02 2.7242550865e-02 8.0000220025e-02
1.6080402010e+01 3.6468906978e-02 1.5614282876e-02 2.6586158713e-02 8.1143253754e-02
1.6582914573e+01 3.4895893694e-02 1.5263515798e-02 2.5257973828e-02 7.9526972977e-02
1.7085427136e+01 3.3462622579e-02 1.5182703995e-02 2.5702888358e-02 7.8403878903e-02
1.7587939698e+01 3.1727349125e-02 1.4915178386e-02 2.5249444752e-02 7.5692194424e-02
1.8090452261e+01 3.0458027390e-02 1.4508952634e-02 2.5110806456e-02 6.9519831766e-02
1.8592964824e+01 2.9396081134e-02 1.3467395987e-02 2.3734814251e-02 7.0980487437e-02
1.9095477387e+01 2.7802994246e-02 1.3538465150e-02 2.3751299984e-02 7.2180199910e-02
1.9597989950e+01 2.6595499669e-02 1.3474417839e-02 2.3536330576e-02 7.1843436592e-02
2.0100502513e+01 2.5286784743e-02 1.2743296244e-02 2.3085447471e-02 7.1403925535e-02
2.0603015075e+01 2.5004449730e-02 1.2708471798e-02 2.2606811740e-02 6.6372369597e-02
2.1105527638e+01 2.3638909916e-02 1.2593322230e-02 2.1959309935e-02 6.5567718395e-02
2.1608040201e+01 2.3667031123e-02 1.2263501430e-02 2.2587561366e-02 6.5160990188e-02
2.2110552764e+01 2.2735189271e-02 1.1683376227e-02 2.1319231935e-02 6.5016084192e-02
2.2613065327e+01 2.2013634580e-02 1.2224077221e-02 2.1292122900e-02 6.5579106621e-02
2.3115577889e+01 2.1555609998e-02 1.2078705214e-02 2.0632075146e-02 6.6038010193e-02
2.3618090452e+01 2.0850747916e-02 1.1535450047e-02 2.0612592319e-02 6.2219588841e-02
2.4120603015e+01 2.0051509051e-02 1.1869358698e-02 2.0736854419e-02 6.3054952153e-02
2.4623115578e+01 1.9852191073e-02 1.1348297750e-02 1.9908874287e-02 5.9581373412e-02
2.5125628141e+01 1.9121962165e-02 1.1614997539e-02 1.9763726168e-02 5.6292261724e-02
2.5628140704e+01 1.8034029275e-02 1.1577172775e-02 1.9187862597e-02 5.3825905165e-02
