time_us curve_0 curve_1e_05 curve_0_0001
0.0000000000e+00 9.3621917113e-01 9.3527683664e-01 9.3635723347e-01
3.0303030303e-01 7.4843841893e-01 7.4122168517e-01 7.2327627142e-01
6.0606060606e-01 6.2512690372e-01 6.1492779274e-01 5.7359861014e-01
9.0909090909e-01 5.2713857082e-01 5.1694503177e-01 4.5980311945e-01
1.2121212121e+00 4.4813492490e-01 4.4069765939e-01 3.6578374258e-01
1.5151515152e+00 3.9147819693e-01 3.8363353392e-01 2.9813959725e-01
1.8181818182e+00 3.4490483452e-01 3.4041416360e-01 2.3996326247e-01
2.1212121212e+00 3.0760981908e-01 3.0407350278e-01 1.9432085491e-01
2.4242424242e+00 2.8001864857e-01 2.7355542017e-01 1.5834340245e-01
2.7272727273e+00 2.5138664512e-01 2.4732376569e-01 1.2544751339e-01
3.0303030303e+00 2.3271137338e-01 2.2253640633e-01 1.0163473031e-01
3.3333333333e+00 2.1156989613e-01 2.0596335659e-01 8.2204802940e-02
3.6363636364e+00 1.9586477649e-01 1.8851500461e-01 6.5557240928e-02
3.9393939394e+00 1.8060179720e-01 1.7427152198e-01 5.4190790833e-02
4.2424242424e+00 1.6973841217e-01 1.6225694845e-01 4.3619625738e-02
4.5454545455e+00 1.5768444323e-01 1.5222901074e-01 3.5829207190e-02
4.8484848485e+00 1.4765654378e-01 1.4131194093e-01 2.9772525502e-02
5.1515151515e+00 1.3927911794e-01 1.3270183962e-01 2.6611345013e-02
5.4545454545e+00 1.3393073253e-01 1.2271892519e-01 2.3486442329e-02
5.7575757576e+00 1.2413996304e-01 1.1406399809e-01 2.1045293079e-02
6.0606060606e+00 1.1753131574e-01 1.0643277865e-01 1.9795984000e-02
6.3636363636e+00 1.1210050443e-01 1.0076895318e-01 1.8989806048e-02
6.6666666667e+00 1.0572554379e-01 9.5055189428e-02 1.8242721803e-02
6.9696969697e+00 9.9612631614e-02 9.1425895488e-02 1.7884758508e-02
7.2727272727e+00 9.3492796976e-02 8.6734531122e-02 1.7995803780e-02
7.5757575758e+00 9.0283335917e-02 8.2558677979e-02 1.8134785944e-02
7.8787878788e+00 8.5900514893e-02 7.8563315737e-02 1.8408134375e-02
8.1818181818e+00 8.2403703615e-02 7.4211327056e-02 1.7286661800e-02
8.4848484848e+00 7.7901163066e-02 7.1442597437e-02 1.7094972460e-02
8.7878787879e+00 7.4365125037e-02 6.8417027306e-02 1.6642975070e-02
9.0909090909e+00 7.1718769204e-02 6.4368268082e-02 1.6491191780e-02
9.3939393939e+00 6.9043273711e-02 6.1325299950e-02 1.6221081395e-02
9.6969696970e+00 6.5764234664e-02 5.8311459049e-02 1.5462400899e-02
1.0000000000e+01 6.3397978278e-02 5.5898005817e-02 1.4854626832e-02
1.0303030303e+01 6.1531388761e-02 5.3971392094e-02 1.4609061809e-02
1.0606060606e+01 5.8753683899e-02 5.1667504950e-02 1.3985048669e-02
1.0909090909e+01 5.6522438446e-02 4.9516160831e-02 1.3570050486e-02
1.1212121212e+01 5.4429344683e-02 4.7709250789e-02 1.3280463362e-02
1.1515151515e+01 5.2405083302e-02 4.5687005435e-02 1.2859270604e-02
1.1818181818e+01 5.0312716795e-02 4.4187153749e-02 1.3082211623e-02
1.2121212121e+01 4.9167572923e-02 4.2586340159e-02 1.2596607830e-02
1.2424242424e+01 4.7257006160e-02 4.1787396565e-02 1.2341734610e-02
1.2727272727e+01 4.6777882448e-02 3.9878064382e-02 1.1984238088e-02
1.3030303030e+01 4.4852778277e-02 3.8940316670e-02 1.1725730778e-02
1.3333333333e+01 4.4184433552e-02 3.7742951395e-02 1.1358100334e-02
1.3636363636e+01 4.2499524390e-02 3.6249573221e-02 1.1342997808e-02
1.3939393939e+01 4.1220366069e-02 3.5222805364e-02 1.1116536547e-02
1.4242424242e+01 4.0011280557e-02 3.4094532917e-02 1.1119790469e-02
1.4545454545e+01 3.8604037248e-02 3.3039045341e-02 1.0903456522e-02
1.4848484848e+01 3.7441857504e-02 3.2006499096e-02 1.0634977496e-02
1.5151515152e+01 3.6671338614e-02 3.1240167186e-02 1.0627250264e-02
1.5454545455e+01 3.5330474860e-02 3.0029630698e-02 1.0534844376e-02
1.5757575758e+01 3.3916909139e-02 2.8805146480e-02 1.0183295026e-02
1.6060606061e+01 3.3191030490e-02 2.8529577469e-02 1.0364033803e-02
1.6363636364e+01 3.2287130611e-02 2.7632191551e-02 1.0300410221e-02
1.6666666667e+01 3.1978774373e-02 2.6794259090e-02 9.8151951357e-03
1.6969696970e+01 3.1648498320e-02 2.6392125452e-02 9.7611057722e-03
1.7272727273e+01 3.0643485830e-02 2.5793661992e-02 9.3491436888e-03
1.7575757576e+01 2.9860486547e-02 2.5263432049e-02 9.4342606680e-03
1.7878787879e+01 2.9368820656e-02 2.4545361081e-02 9.3815046262e-03
1.8181818182e+01 2.8754885961e-02 2.3271218411e-02 9.1937431907e-03
1.8484848485e+01 2.8072825915e-02 2.2884742356e-02 9.0530833464e-03
1.8787878788e+01 2.7079954037e-02 2.2207653734e-02 8.8804295525e-03
1.9090909091e+01 2.6784624355e-02 2.1442774803e-02 8.7250687948e-03
1.9393939394e+01 2.5833355520e-02 2.0761533048e-02 8.7203137487e-03
1.9696969697e+01 2.5232951757e-02 2.0360735763e-02 8.6994411066e-03
2.0000000000e+01 2.5311305451e-02 1.9826621969e-02 8.4752730254e-03
2.0303030303e+01 2.4911135637e-02 1.8985992568e-02 8.4835765822e-03
2.0606060606e+01 2.4174089957e-02 1.8690033729e-02 8.5213924794e-03
2.0909090909e+01 2.4073240756e-02 1.8298537334e-02 8.2368504120e-03
2.1212121212e+01 2.3657880730e-02 1.7739521625e-02 8.2121176830e-03
2.1515151515e+01 2.2788966121e-02 1.7132896957e-02 8.0092239857e-03
2.1818181818e+01 2.2086593871e-02 1.6592775032e-02 8.0755408656e-03
2.2121212121e+01 2.2349384875e-02 1.6506996977e-02 7.9480688211e-03
2.2424242424e+01 2.1648772727e-02 1.6435782686e-02 8.0109213005e-03
2.2727272727e+01 2.1116078831e-02 1.5895427065e-02 7.8453053250e-03
2.3030303030e+01 2.0656733126e-02 1.5260658903e-02 7.8692046767e-03
2.3333333333e+01 2.0037987287e-02 1.5024220882e-02 7.4795638481e-03
2.3636363636e+01 1.9890195695e-02 1.4595261198e-02 7.5997126443e-03
2.3939393939e+01 1.9603662263e-02 1.4280051327e-02 7.5182366676e-03
2.4242424242e+01 1.9381098758e-02 1.4107371730e-02 7.5726488244e-03
2.4545454545e+01 1.8899835329e-02 1.3555840398e-02 7.4212037242e-03
2.4848484848e+01 1.8445338693e-02 1.3106121023e-02 7.4612569420e-03
2.5151515152e+01 1.8037402786e-02 1.2738114590e-02 7.3054005961e-03
2.5454545455e+01 1.7803035303e-02 1.2616700353e-02 7.2405194875e-03
2.5757575758e+01 1.7656841548e-02 1.2531593619e-02 6.8685873257e-03
2.6060606061e+01 1.7645550671e-02 1.2170667521e-02 6.7729101935e-03
2.6363636364e+01 1.7356979358e-02 1.1941469453e-02 6.8069946094e-03
2.6666666667e+01 1.7300567087e-02 1.1645486755e-02 6.8046344473e-03
2.6969696970e+01 1.7054737048e-02 1.1627093607e-02 6.6898578117e-03
2.7272727273e+01 1.7221153798e-02 1.1339740791e-02 6.6452218786e-03
2.7575757576e+01 1.6827848973e-02 1.1071025982e-02 6.7249251882e-03
2.7878787879e+01 1.6895541795e-02 1.0895336205e-02 6.5847130026e-03
2.8181818182e+01 1.6670487088e-02 1.0607963348e-02 6.6647927746e-03
2.8484848485e+01 1.6353521291e-02 1.0453704364e-02 6.5935991583e-03
2.8787878788e+01 1.6288925374e-02 1.0219250043e-02 6.5491598964e-03
2.9090909091e+01 1.5900617038e-02 9.7740130884e-03 6.5040943601e-03
2.9393939394e+01 1.5739418456e-02 9.5687704103e-03 6.3687222991e-03
2.9696969697e+01 1.5517503580e-02 9.5344577637e-03 6.2917232223e-03
3.0000000000e+01 1.5020883020e-02 9.5631309441e-03 6.4047529677e-03
