time_us curve_2 curve_5 curve_7 curve_10 curve_20
0.0000000000e+00 9.3548944124e-01 9.3529066139e-01 9.3757307146e-01 9.3528949799e-01 9.3611802782e-01
3.0303030303e-01 3.9688028690e-01 6.2258878771e-01 6.9247645851e-01 7.4352862788e-01 8.3433645975e-01
6.0606060606e-01 2.3658151473e-01 4.5335603252e-01 5.3551132633e-01 6.1389885342e-01 7.4650828661e-01
9.0909090909e-01 1.6022452484e-01 3.4910554543e-01 4.3389158347e-01 5.1826813587e-01 6.8135529211e-01
1.2121212121e+00 1.1979164986e-01 2.7928494238e-01 3.6249267218e-01 4.5421821061e-01 6.1802705596e-01
1.5151515152e+00 9.0341774673e-02 2.3083354246e-01 3.1006322260e-01 3.9856082557e-01 5.6863213173e-01
1.8181818182e+00 7.3148425753e-02 1.9760287146e-01 2.6546994181e-01 3.5441945257e-01 5.2567396774e-01
2.1212121212e+00 5.9136225561e-02 1.6861230959e-01 2.3192318118e-01 3.1414453016e-01 4.8275846912e-01
2.4242424242e+00 4.9982253790e-02 1.4602831123e-01 2.0678695226e-01 2.8418830195e-01 4.5130378110e-01
2.7272727273e+00 4.3549370365e-02 1.2915294817e-01 1.8310107109e-01 2.6074244481e-01 4.2195189516e-01
3.0303030303e+00 3.7220216764e-02 1.1458423710e-01 1.6477276618e-01 2.3900382915e-01 3.9097225935e-01
3.3333333333e+00 3.2294472451e-02 1.0384265983e-01 1.4997723536e-01 2.1965104908e-01 3.6881556073e-01
3.6363636364e+00 2.8878493575e-02 9.4426981853e-02 1.3816660905e-01 2.0073828809e-01 3.4479636779e-01
3.9393939394e+00 2.5956711081e-02 8.6469261916e-02 1.2782533882e-01 1.8574840154e-01 3.2591135497e-01
4.2424242424e+00 2.2578016917e-02 8.0669268017e-02 1.1685197716e-01 1.7312479871e-01 3.0877936607e-01
4.5454545455e+00 2.0740066985e-02 7.3358367901e-02 1.0698010502e-01 1.5888870443e-01 2.9163877327e-01
4.8484848485e+00 1.8789077288e-02 6.6902290437e-02 9.8433709132e-02 1.4812060361e-01 2.7959720630e-01
5.1515151515e+00 1.8063114243e-02 6.1555615564e-02 9.0673143106e-02 1.3991800574e-01 2.6683278462e-01
5.4545454545e+00 1.6805151423e-02 5.6984079382e-02 8.5119844120e-02 1.3132837734e-01 2.5464344593e-01
5.7575757576e+00 1.5535595747e-02 5.3058089355e-02 8.0190454865e-02 1.2623883356e-01 2.4267168981e-01
6.0606060606e+00 1.4585383668e-02 5.0395214537e-02 7.4635753153e-02 1.1903508837e-01 2.3107208471e-01
6.3636363636e+00 1.3530314386e-02 4.7416988211e-02 7.0610481108e-02 1.1085915194e-01 2.2182387541e-01
6.6666666667e+00 1.2915213681e-02 4.4986940028e-02 6.7198172805e-02 1.0516380898e-01 2.1205570419e-01
6.9696969697e+00 1.2271203297e-02 4.2846089866e-02 6.3019698642e-02 9.9918713351e-02 2.0445635186e-01
7.2727272727e+00 1.1802519046e-02 4.0380286689e-02 6.0281488378e-02 9.5781838708e-02 1.9700381064e-01
7.5757575758e+00 1.0904368422e-02 3.7970018549e-02 5.7337395610e-02 9.0494618589e-02 1.8799840297e-01
7.8787878788e+00 1.0068932939e-02 3.6445087411e-02 5.4196508841e-02 8.7353844486e-02 1.8059221245e-01
8.1818181818e+00 9.5746775549e-03 3.5055799171e-02 5.2098708252e-02 8.2582913811e-02 1.7423933502e-01
8.4848484848e+00 8.9664947279e-03 3.3028078696e-02 4.9677517715e-02 7.9060534832e-02 1.6815409012e-01
8.7878787879e+00 9.0059942676e-03 3.1221035771e-02 4.7177909759e-02 7.5360120965e-02 1.6374430761e-01
9.0909090909e+00 8.5606507751e-03 2.9883243046e-02 4.4792762074e-02 7.1970331236e-02 1.5756802568e-01
9.3939393939e+00 8.1511076037e-03 2.9092363685e-02 4.2410116630e-02 6.9678251040e-02 1.5228165985e-01
9.6969696970e+00 7.5455699218e-03 2.8241267507e-02 4.1145046666e-02 6.6793300047e-02 1.4624292752e-01
1.0000000000e+01 7.1516311142e-03 2.6894236073e-02 3.9895339324e-02 6.4007833408e-02 1.4105708068e-01
1.0303030303e+01 7.0746027990e-03 2.5312634482e-02 3.8988567242e-02 6.1642275286e-02 1.3704602530e-01
1.0606060606e+01 6.7391586307e-03 2.4829855042e-02 3.7636907445e-02 5.8856935974e-02 1.3436040824e-01
1.0909090909e+01 6.3761321692e-03 2.3328546013e-02 3.6078831358e-02 5.7060466999e-02 1.3013621719e-01
1.1212121212e+01 6.1276728842e-03 2.2138852016e-02 3.4260535165e-02 5.5980601511e-02 1.2681578066e-01
1.1515151515e+01 5.9735511905e-03 2.1403768627e-02 3.3171930486e-02 5.3794609344e-02 1.2135492809e-01
1.1818181818e+01 6.1787263168e-03 2.0005480868e-02 3.1874760222e-02 5.2865399420e-02 1.1754890702e-01
1.2121212121e+01 5.8262843845e-03 1.9986491864e-02 3.0349237674e-02 5.2274187828e-02 1.1400312298e-01
1.2424242424e+01 5.6797810041e-03 1.8967227988e-02 2.9730420186e-02 5.0365471058e-02 1.1098096659e-01
1.2727272727e+01 5.4685875768e-03 1.8386131992e-02 2.8506700190e-02 4.8772665761e-02 1.0777713937e-01
1.3030303030e+01 5.2604650644e-03 1.7974646572e-02 2.7735088907e-02 4.6625547842e-02 1.0510766263e-01
1.3333333333e+01 4.7719862318e-03 1.7834068910e-02 2.6575848110e-02 4.5139677712e-02 1.0232983740e-01
1.3636363636e+01 4.7684784329e-03 1.7044207085e-02 2.5574777113e-02 4.4025224101e-02 9.9026902104e-02
1.3939393939e+01 4.7671904180e-03 1.6312517031e-02 2.4435333446e-02 4.2799489778e-02 9.6119420411e-02
1.4242424242e+01 4.6985196881e-03 1.5800637514e-02 2.3487192392e-02 4.1340510056e-02 9.4867823492e-02
1.4545454545e+01 4.4816236326e-03 1.5292250539e-02 2.3303260954e-02 4.0119983672e-02 9.3012460998e-02
1.4848484848e+01 4.3832939359e-03 1.4631993707e-02 2.2520510947e-02 3.9411492652e-02 9.1769221605e-02
1.5151515152e+01 4.1086618768e-03 1.4260572427e-02 2.2046138794e-02 3.8128492086e-02 8.8873266504e-02
1.5454545455e+01 3.9980760850e-03 1.3863013743e-02 2.1307241235e-02 3.7517965988e-02 8.6252989843e-02
1.5757575758e+01 3.7335715126e-03 1.3426242674e-02 2.0731090950e-02 3.6235477795e-02 8.4673684602e-02
1.6060606061e+01 3.6924095818e-03 1.3114912571e-02 2.0216535526e-02 3.5340776788e-02 8.2670267478e-02
1.6363636364e+01 3.6058520744e-03 1.2996991314e-02 1.9417697978e-02 3.4100342334e-02 8.1093287606e-02
1.6666666667e+01 3.4533627060e-03 1.2941392259e-02 1.9174594866e-02 3.3222670896e-02 7.9081610747e-02
