time_us curve_320 curve_640
0.0000000000e+00 9.6996918314e-01 9.7509745554e-01
5.0000000000e-02 9.6317036980e-01 9.6947432106e-01
5.1644755920e-02 9.6293362918e-01 9.6920641725e-01
5.3343616282e-02 9.6271446226e-01 9.6908019277e-01
5.5098360856e-02 9.6250661298e-01 9.6883809916e-01
5.6910827960e-02 9.6229545419e-01 9.6871898269e-01
5.8782916385e-02 9.6205193497e-01 9.6850149717e-01
6.0716587380e-02 9.6173473496e-01 9.6833202584e-01
6.2713866711e-02 9.6146661620e-01 9.6820571599e-01
6.4776846782e-02 9.6119935352e-01 9.6788602679e-01
6.6907688827e-02 9.6090063796e-01 9.6764666360e-01
6.9108625174e-02 9.6060625613e-01 9.6747489616e-01
7.1381961582e-02 9.6024350523e-01 9.6704413926e-01
7.3730079661e-02 9.5991584039e-01 9.6687432320e-01
7.6155439361e-02 9.5956106051e-01 9.6670673251e-01
7.8660581557e-02 9.5923348528e-01 9.6660535576e-01
8.1248130701e-02 9.5892834977e-01 9.6607983109e-01
8.3920797581e-02 9.5859580699e-01 9.6570925870e-01
8.6681382155e-02 9.5825663819e-01 9.6534350146e-01
8.9532776485e-02 9.5786781644e-01 9.6516815164e-01
9.2477967769e-02 9.5752365581e-01 9.6493546865e-01
9.5520041469e-02 9.5706785746e-01 9.6450030276e-01
9.8662184543e-02 9.5668599191e-01 9.6414847543e-01
1.0190768879e-01 9.5623821090e-01 9.6382989165e-01
1.0525995428e-01 9.5575065784e-01 9.6346583439e-01
1.0872249294e-01 9.5528488469e-01 9.6306582454e-01
1.1229893221e-01 9.5484243646e-01 9.6280378019e-01
1.1599301889e-01 9.5438115571e-01 9.6233568555e-01
1.1980862298e-01 9.5394092188e-01 9.6204552366e-01
1.2374974182e-01 9.5338255694e-01 9.6169018639e-01
1.2782050423e-01 9.5290194811e-01 9.6104949783e-01
1.3202517485e-01 9.5233260146e-01 9.6052565531e-01
1.3636815861e-01 9.5177642617e-01 9.6001692261e-01
1.4085400533e-01 9.5123538275e-01 9.5956799892e-01
1.4548741452e-01 9.5065113783e-01 9.5893068732e-01
1.5027324025e-01 9.5000767648e-01 9.5855677888e-01
1.5521649628e-01 9.4932113149e-01 9.5788669835e-01
1.6032236130e-01 9.4862644999e-01 9.5722786014e-01
1.6559618436e-01 9.4791029977e-01 9.5673980286e-01
1.7104349045e-01 9.4715335182e-01 9.5615586612e-01
1.7666998632e-01 9.4643024422e-01 9.5553203675e-01
1.8248156644e-01 9.4573051302e-01 9.5506679021e-01
1.8848431918e-01 9.4494613718e-01 9.5448628369e-01
1.9468453318e-01 9.4414039057e-01 9.5389542377e-01
2.0108870395e-01 9.4339772539e-01 9.5293339199e-01
2.0770354068e-01 9.4253658603e-01 9.5241329373e-01
2.1453597324e-01 9.4167642468e-01 9.5159028386e-01
2.2159315948e-01 9.4076599107e-01 9.5087732244e-01
2.2888249270e-01 9.3987511523e-01 9.5004433451e-01
2.3641160940e-01 9.3895027912e-01 9.4921663707e-01
2.4418839729e-01 9.3799969627e-01 9.4848740237e-01
2.5222100353e-01 9.3689390546e-01 9.4753957350e-01
2.6051784331e-01 9.3587642767e-01 9.4670110160e-01
2.6908760861e-01 9.3477635349e-01 9.4579879979e-01
2.7793927736e-01 9.3370659010e-01 9.4484862978e-01
2.8708212280e-01 9.3257226791e-01 9.4392370757e-01
2.9652572322e-01 9.3134200667e-01 9.4295700431e-01
3.0627997200e-01 9.3017945200e-01 9.4208272905e-01
3.1635508794e-01 9.2889268109e-01 9.4088512656e-01
3.2676162602e-01 9.2750045977e-01 9.3988959890e-01
3.3751048840e-01 9.2609367670e-01 9.3873772705e-01
3.4861293588e-01 9.2479054071e-01 9.3747197363e-01
3.6008059968e-01 9.2338683759e-01 9.3620155806e-01
3.7192549365e-01 9.2187024440e-01 9.3484568998e-01
3.8416002680e-01 9.2041220852e-01 9.3366086225e-01
3.9679701637e-01 9.1876873600e-01 9.3231211038e-01
4.0984970121e-01 9.1715692686e-01 9.3112598147e-01
4.2333175566e-01 9.1550519447e-01 9.2946738736e-01
4.3725730389e-01 9.1379588503e-01 9.2815468305e-01
4.5164093468e-01 9.1199779053e-01 9.2642355627e-01
4.6649771670e-01 9.1019920392e-01 9.2489955470e-01
4.8184321433e-01 9.0832333023e-01 9.2321198525e-01
4.9769350392e-01 9.0633283786e-01 9.2172494818e-01
5.1406519066e-01 9.0445679492e-01 9.2000249623e-01
5.3097542598e-01 9.0244230773e-01 9.1808273572e-01
5.4844192549e-01 9.0045645776e-01 9.1645094859e-01
5.6648298757e-01 8.9831364675e-01 9.1453870379e-01
5.8511751252e-01 8.9613713042e-01 9.1276194559e-01
6.0436502238e-01 8.9385152793e-01 9.1079744144e-01
6.2424568135e-01 8.9143741503e-01 9.0896536536e-01
6.4478031696e-01 8.8889210360e-01 9.0694011641e-01
6.6599044183e-01 8.8637955419e-01 9.0491201234e-01
6.8789827628e-01 8.8395945221e-01 9.0280590432e-01
7.1052677153e-01 8.8129406285e-01 9.0036039914e-01
7.3389963381e-01 8.7872898785e-01 8.9794558645e-01
7.5804134917e-01 8.7612813646e-01 8.9575470904e-01
7.8297720911e-01 8.7326339025e-01 8.9342441421e-01
8.0873333711e-01 8.7034514236e-01 8.9116840882e-01
8.3533671600e-01 8.6736926182e-01 8.8882534950e-01
8.6281521618e-01 8.6437867094e-01 8.8631075621e-01
8.9119762488e-01 8.6148358201e-01 8.8358021347e-01
9.2051367628e-01 8.5823190052e-01 8.8077765892e-01
9.5079408266e-01 8.5480110620e-01 8.7780828095e-01
9.8207056659e-01 8.5131232595e-01 8.7490223097e-01
1.0143758942e+00 8.4808032009e-01 8.7182897797e-01
1.0477439093e+00 8.4449324193e-01 8.6853015513e-01
1.0822095693e+00 8.4076839507e-01 8.6528571234e-01
1.1178089812e+00 8.3710524952e-01 8.6241507854e-01
1.1545794400e+00 8.3340441268e-01 8.5891765568e-01
1.1925594674e+00 8.2960568999e-01 8.5547982043e-01
1.2317888523e+00 8.2574070681e-01 8.5210677120e-01
1.2723086924e+00 8.2155845902e-01 8.4874948714e-01
1.3141614375e+00 8.1737754497e-01 8.4484167282e-01
1.3573909336e+00 8.1310545233e-01 8.4069026469e-01
1.4020424691e+00 8.0876563856e-01 8.3662500141e-01
1.4481628221e+00 8.0446696387e-01 8.3258734589e-01
1.4958003097e+00 8.0000445252e-01 8.2884621840e-01
1.5450048380e+00 7.9530314042e-01 8.2477705210e-01
1.5958279550e+00 7.9077134495e-01 8.2064926794e-01
1.6483229046e+00 7.8598354982e-01 8.1632392362e-01
1.7025446817e+00 7.8117221804e-01 8.1187119611e-01
1.7585500906e+00 7.7615241349e-01 8.0707294578e-01
1.8163978041e+00 7.7083783542e-01 8.0225660484e-01
1.8761484249e+00 7.6539799834e-01 7.9779270248e-01
1.9378645495e+00 7.6013936099e-01 7.9279632523e-01
2.0016108333e+00 7.5483171423e-01 7.8832386339e-01
2.0674540587e+00 7.4928254752e-01 7.8300562948e-01
2.1354632048e+00 7.4370509400e-01 7.7805890341e-01
2.2057095197e+00 7.3783841539e-01 7.7293141354e-01
2.2782665956e+00 7.3210876716e-01 7.6773061023e-01
2.3532104450e+00 7.2606989581e-01 7.6255825658e-01
2.4306195812e+00 7.2005288958e-01 7.5722040357e-01
2.5105751002e+00 7.1395795612e-01 7.5116055767e-01
2.5931607654e+00 7.0750701467e-01 7.4576914926e-01
2.6784630958e+00 7.0125907752e-01 7.3981502523e-01
2.7665714565e+00 6.9480147877e-01 7.3429115936e-01
2.8575781521e+00 6.8832802420e-01 7.2778900843e-01
2.9515785238e+00 6.8161085258e-01 7.2184565315e-01
3.0486710489e+00 6.7486795457e-01 7.1559440978e-01
3.1489574440e+00 6.6829350602e-01 7.0938444542e-01
3.2525427720e+00 6.6153936902e-01 7.0318159228e-01
3.3595355516e+00 6.5460515125e-01 6.9708473580e-01
3.4700478714e+00 6.4794795451e-01 6.9065087955e-01
3.5841955070e+00 6.4102494381e-01 6.8368245224e-01
3.7020980426e+00 6.3378172574e-01 6.7747627592e-01
3.8238789961e+00 6.2684725423e-01 6.7127744505e-01
3.9496659484e+00 6.1959512179e-01 6.6467021261e-01
4.0795906775e+00 6.1222910995e-01 6.5823549388e-01
4.2137892959e+00 6.0519646327e-01 6.5120601336e-01
4.3524023937e+00 5.9794522641e-01 6.4425859707e-01
4.4955751858e+00 5.9054116118e-01 6.3763689073e-01
4.6434576639e+00 5.8340947088e-01 6.3050912258e-01
4.7962047536e+00 5.7613429317e-01 6.2318887971e-01
4.9539764769e+00 5.6860163580e-01 6.1671053879e-01
5.1169381197e+00 5.6121783712e-01 6.0988299474e-01
5.2852604050e+00 5.5396907901e-01 6.0303543519e-01
5.4591196719e+00 5.4645352104e-01 5.9609148295e-01
5.6386980599e+00 5.3925749174e-01 5.8909013993e-01
5.8241837002e+00 5.3199173910e-01 5.8200745550e-01
6.0157709127e+00 5.2477168020e-01 5.7449632663e-01
6.2136604092e+00 5.1760950400e-01 5.6741289509e-01
6.4180595041e+00 5.1024297402e-01 5.6041794429e-01
6.6291823314e+00 5.0306298712e-01 5.5334291153e-01
