time_us curve_3_3 curve_8_25 curve_16_5 curve_24_75 curve_33 curve_66 curve_165 curve_330
0.0000000000e+00 8.0207739187e-01 8.8776455481e-01 9.2372092835e-01 9.3687290555e-01 8.0851525816e-01 8.6961270698e-01 7.1252264257e-01 7.9685589708e-01
5.0000000000e-02 7.9821749235e-01 8.8028096810e-01 9.1660921654e-01 9.2964913039e-01 8.0390098291e-01 8.6298921293e-01 7.1018675765e-01 7.9117765079e-01
5.1909181181e-02 7.9792578764e-01 8.8028485407e-01 9.1627118914e-01 9.2926687349e-01 8.0386378983e-01 8.6272078245e-01 7.0965563698e-01 7.9130696996e-01
5.3891261818e-02 7.9707315884e-01 8.8048404266e-01 9.1587545711e-01 9.2914134191e-01 8.0438650064e-01 8.6222783593e-01 7.0998051471e-01 7.9041813149e-01
5.5949025476e-02 7.9738262072e-01 8.8004348728e-01 9.1558778436e-01 9.2878632203e-01 8.0432536184e-01 8.6200862810e-01 7.0898634376e-01 7.9020592869e-01
5.8085362007e-02 7.9766317708e-01 8.7925228685e-01 9.1518241841e-01 9.2833529202e-01 8.0386379759e-01 8.6125604577e-01 7.0817483313e-01 7.8942093055e-01
6.0303271607e-02 7.9743633280e-01 8.7938565390e-01 9.1496841268e-01 9.2816815073e-01 8.0397090637e-01 8.6059976852e-01 7.0824445421e-01 7.8908188115e-01
6.2605869034e-02 7.9756496752e-01 8.7897976335e-01 9.1433783114e-01 9.2790284353e-01 8.0434989101e-01 8.5994519535e-01 7.0786662842e-01 7.8873928487e-01
6.4996387973e-02 7.9723078043e-01 8.7901085493e-01 9.1377025304e-01 9.2784047497e-01 8.0418660428e-01 8.5976926441e-01 7.0806499554e-01 7.8892894002e-01
6.7478185589e-02 7.9658230162e-01 8.7847423086e-01 9.1330541260e-01 9.2736401086e-01 8.0421398314e-01 8.5957507711e-01 7.0847006885e-01 7.8849812355e-01
7.0054747230e-02 7.9621302635e-01 8.7818780372e-01 9.1308393853e-01 9.2683435546e-01 8.0396610211e-01 8.5909315860e-01 7.0787561258e-01 7.8806611096e-01
7.2729691331e-02 7.9604209792e-01 8.7786460405e-01 9.1318438632e-01 9.2640302139e-01 8.0363556268e-01 8.5883879334e-01 7.0722044164e-01 7.8789167114e-01
7.5506774491e-02 7.9512037031e-01 8.7782304923e-01 9.1267240664e-01 9.2584689895e-01 8.0327094544e-01 8.5854601581e-01 7.0727123689e-01 7.8788863960e-01
7.8389896749e-02 7.9630953022e-01 8.7759365818e-01 9.1227000560e-01 9.2556931820e-01 8.0263801518e-01 8.5827745949e-01 7.0642086271e-01 7.8750135071e-01
