time_us curve_1 curve_5 curve_10 curve_30 curve_70 curve_100 curve_1000
0.0000000000e+00 9.3040020649e-01 9.3127725880e-01 9.3095974283e-01 9.3150003631e-01 9.3033228588e-01 9.2772400875e-01 9.3190724606e-01
7.5187969925e+01 9.3037214254e-01 9.3074871419e-01 9.3012912243e-01 9.3062872190e-01 9.2826595519e-01 9.2478847240e-01 9.0968315782e-01
1.5037593985e+02 9.3029398956e-01 9.2997726979e-01 9.2883542784e-01 9.2838315577e-01 9.2261944302e-01 9.1649706639e-01 8.4270557232e-01
2.2556390977e+02 9.3016563981e-01 9.2896860289e-01 9.2708112823e-01 9.2479716117e-01 9.1345172316e-01 9.0322684702e-01 7.4815320710e-01
3.0075187970e+02 9.2998665843e-01 9.2772775693e-01 9.2486815566e-01 9.1991084041e-01 9.0092564697e-01 8.8562249159e-01 6.4404906315e-01
3.7593984962e+02 9.2975688709e-01 9.2626012026e-01 9.2219877194e-01 9.1376299504e-01 8.8532064974e-01 8.6434492266e-01 5.4313888089e-01
4.5112781955e+02 9.2947630401e-01 9.2457028699e-01 9.1907551772e-01 9.0638599929e-01 8.6700963450e-01 8.3994944965e-01 4.5249348878e-01
5.2631578947e+02 9.2914462290e-01 9.2266290450e-01 9.1550200641e-01 8.9780743134e-01 8.4640536914e-01 8.1294719458e-01 3.7419702784e-01
6.0150375940e+02 9.2876180714e-01 9.2054210139e-01 9.1148307439e-01 8.8805670442e-01 8.2390575058e-01 7.8386121934e-01 3.0874968260e-01
6.7669172932e+02 9.2832776965e-01 9.1821160568e-01 9.0702522786e-01 8.7717386614e-01 7.9986807083e-01 7.5317074118e-01 2.5483331725e-01
7.5187969925e+02 9.2784231387e-01 9.1567434160e-01 9.0213693098e-01 8.6521600991e-01 7.7460620816e-01 7.2126016248e-01 2.1065065189e-01
8.2706766917e+02 9.2730557500e-01 9.1293341473e-01 8.9682884279e-01 8.5225912891e-01 7.4838826160e-01 6.8848369837e-01 1.7444634465e-01
9.0225563910e+02 9.2671738754e-01 9.0999090782e-01 8.9111381711e-01 8.3839411350e-01 7.2143907166e-01 6.5526078749e-01 1.4490002496e-01
9.7744360902e+02 9.2607792570e-01 9.0684890286e-01 8.8500689703e-01 8.2371887255e-01 6.9396315153e-01 6.2207528176e-01 1.2084356837e-01
1.0526315789e+03 9.2538714331e-01 9.0350909178e-01 8.7852510324e-01 8.0833126581e-01 6.6617834741e-01 5.8938312157e-01 1.0124223544e-01
1.1278195489e+03 9.2464520867e-01 8.9997296002e-01 8.7168720474e-01 7.9232465045e-01 6.3832378077e-01 5.5751771345e-01 8.5258959201e-02
1.2030075188e+03 9.2385214053e-01 8.9624172198e-01 8.6451314787e-01 7.7578604974e-01 6.1063387236e-01 5.2665902786e-01 7.2212901477e-02
1.2781954887e+03 9.2300827528e-01 8.9231703752e-01 8.5702312913e-01 7.5879846145e-01 5.8330760431e-01 4.9687576121e-01 6.1520867588e-02
1.3533834586e+03 9.2211374941e-01 8.8820039037e-01 8.4923781098e-01 7.4144344029e-01 5.5649997933e-01 4.6820162387e-01 5.2703782944e-02
1.4285714286e+03 9.2116875067e-01 8.8389390218e-01 8.4117739700e-01 7.2380310426e-01 5.3033081338e-01 4.4069037740e-01 4.5377644809e-02
1.5037593985e+03 9.2017360848e-01 8.7939990854e-01 8.3286122180e-01 7.0596124224e-01 5.0489608363e-01 4.1442033401e-01 3.9253875347e-02
1.5789473684e+03 9.1912868170e-01 8.7472149096e-01 8.2430784201e-01 6.8800135376e-01 4.8027096857e-01 3.8946878711e-01 3.4122769484e-02
1.6541353383e+03 9.1803427747e-01 8.6986231162e-01 8.1553472510e-01 6.7000393894e-01 4.5651006521e-01 3.6588589980e-01 2.9814894990e-02
1.7293233083e+03 9.1689086386e-01 8.6482669929e-01 8.0655865911e-01 6.5204282102e-01 4.3365141917e-01 3.4368387257e-01 2.6179666953e-02
1.8045112782e+03 9.1569875836e-01 8.5961989911e-01 7.9739558702e-01 6.3418246591e-01 4.1172327735e-01 3.2283672740e-01 2.3091741478e-02
1.8796992481e+03 9.1445857958e-01 8.5424760860e-01 7.8806104867e-01 6.1647687742e-01 3.9074789957e-01 3.0328848586e-01 2.0457848785e-02
1.9548872180e+03 9.1317077153e-01 8.4871609152e-01 7.7857015332e-01 5.9896980097e-01 3.7074065186e-01 2.8496519875e-01 1.8207646550e-02
2.0300751880e+03 9.1183591444e-01 8.4303244500e-01 7.6893768041e-01 5.8169669026e-01 3.5170564547e-01 2.6778723033e-01 1.6278770343e-02
2.1052631579e+03 9.1045453489e-01 8.3720384229e-01 7.5917801914e-01 5.6468606400e-01 3.3363300893e-01 2.5168122788e-01 1.4613590633e-02
2.1804511278e+03 9.0902726636e-01 8.3123801638e-01 7.4930544061e-01 5.4796048466e-01 3.1649976009e-01 2.3658397582e-01 1.3164069194e-02
2.2556390977e+03 9.0755467895e-01 8.2514269600e-01 7.3933347043e-01 5.3153774796e-01 3.0027370166e-01 2.2244210904e-01 1.1893829598e-02
2.3308270677e+03 9.0603756670e-01 8.1892595022e-01 7.2927540468e-01 5.1543154889e-01 2.8491812221e-01 2.0920866136e-01 1.0775952500e-02
2.4060150376e+03 9.0447647464e-01 8.1259565118e-01 7.1914435034e-01 4.9965268171e-01 2.7039509720e-01 1.9683930068e-01 9.7901423777e-03
2.4812030075e+03 9.0287222830e-01 8.0615975369e-01 7.0895246075e-01 4.8421065337e-01 2.5666724098e-01 1.8528691102e-01 8.9197479677e-03
2.5563909774e+03 9.0122562799e-01 7.9962598510e-01 6.9871264300e-01 4.6911517789e-01 2.4369605735e-01 1.7449972860e-01 8.1494731027e-03
2.6315789474e+03 8.9953719777e-01 7.9300174346e-01 6.8843659673e-01 4.5437628208e-01 2.3144173770e-01 1.6442296627e-01 7.4654237427e-03
2.7067669173e+03 8.9780797138e-01 7.8629449633e-01 6.7813688524e-01 4.4000437568e-01 2.1986313652e-01 1.5500283377e-01 6.8555962170e-03
2.7819548872e+03 8.9603841557e-01 7.7951121423e-01 6.6782597780e-01 4.2600865485e-01 2.0891832700e-01 1.4619125724e-01 6.3105508496e-03
2.8571428571e+03 8.9422954737e-01 7.7265863030e-01 6.5751611890e-01 4.1239648178e-01 1.9856742166e-01 1.3794575172e-01 5.8226250063e-03
2.9323308271e+03 8.9238213513e-01 7.6574348851e-01 6.4721991454e-01 3.9917163701e-01 1.8877402425e-01 1.3022865323e-01 5.3852341045e-03
3.0075187970e+03 8.9049689744e-01 7.5877180785e-01 6.3694953436e-01 3.8633453374e-01 1.7950585757e-01 1.2300542812e-01 4.9925016869e-03
3.0827067669e+03 8.8857460086e-01 7.5174962143e-01 6.2671715030e-01 3.7388202067e-01 1.7073443310e-01 1.1624363785e-01 4.6388955132e-03
3.1578947368e+03 8.8661604088e-01 7.4468230257e-01 6.1653404957e-01 3.6180875582e-01 1.6243398760e-01 1.0991249529e-01 4.3194087974e-03
