time_us curve_nan curve_nan curve_nan curve_nan curve_nan
0.0000000000e+00 9.2559868751e-01 9.3063006232e-01 9.3151789415e-01 9.2688921852e-01 9.2452402576e-01
1.8796992481e+01 9.2559695321e-01 9.3060325008e-01 9.3150973826e-01 9.2677168505e-01 9.2449827139e-01
3.7593984962e+01 9.2555998588e-01 9.3054642096e-01 9.3147600014e-01 9.2663295886e-01 9.2445352287e-01
5.6390977444e+01 9.2548812339e-01 9.3045965833e-01 9.3141654291e-01 9.2647298847e-01 9.2438971470e-01
7.5187969925e+01 9.2538104442e-01 9.3034284358e-01 9.3133135285e-01 9.2629178538e-01 9.2430681434e-01
9.3984962406e+01 9.2523915738e-01 9.3019605344e-01 9.3122041928e-01 9.2608942931e-01 9.2420492102e-01
1.1278195489e+02 9.2506215665e-01 9.3001922645e-01 9.3108379158e-01 9.2586597071e-01 9.2408405624e-01
1.3157894737e+02 9.2485028982e-01 9.2981230397e-01 9.3092132365e-01 9.2562133461e-01 9.2394417181e-01
1.5037593985e+02 9.2460353533e-01 9.2957542340e-01 9.3073319248e-01 9.2535567324e-01 9.2378530648e-01
1.6917293233e+02 9.2432214142e-01 9.2930855747e-01 9.3051928504e-01 9.2506895011e-01 9.2360748964e-01
1.8796992481e+02 9.2400583692e-01 9.2901176495e-01 9.3027976136e-01 9.2476127121e-01 9.2341073728e-01
2.0676691729e+02 9.2365500247e-01 9.2868505958e-01 9.3001453779e-01 9.2443267840e-01 9.2319502913e-01
2.2556390977e+02 9.2326944005e-01 9.2832850242e-01 9.2972370975e-01 9.2408318402e-01 9.2296047817e-01
2.4436090226e+02 9.2284942982e-01 9.2794207019e-01 9.2940733422e-01 9.2371290419e-01 9.2270706091e-01
2.6315789474e+02 9.2239483647e-01 9.2752593404e-01 9.2906543712e-01 9.2332189295e-01 9.2243484085e-01
2.8195488722e+02 9.2190586421e-01 9.2708019024e-01 9.2869814208e-01 9.2291015436e-01 9.2214373103e-01
3.0075187970e+02 9.2138253303e-01 9.2660479091e-01 9.2830546351e-01 9.2247784420e-01 9.2183387379e-01
3.1954887218e+02 9.2082485738e-01 9.2609982237e-01 9.2788752552e-01 9.2202495230e-01 9.2150530901e-01
3.3834586466e+02 9.2023300115e-01 9.2556552667e-01 9.2744443921e-01 9.2155161703e-01 9.2115800939e-01
3.5714285714e+02 9.1960698036e-01 9.2500181961e-01 9.2697623518e-01 9.2105785626e-01 9.2079207064e-01
3.7593984962e+02 9.1894684494e-01 9.2440887215e-01 9.2648305412e-01 9.2054381835e-01 9.2040747425e-01
3.9473684211e+02 9.1825266659e-01 9.2378685047e-01 9.2596506060e-01 9.2000949556e-01 9.2000427927e-01
4.1353383459e+02 9.1752468060e-01 9.2313579613e-01 9.2542232789e-01 9.1945508064e-01 9.1958251218e-01
4.3233082707e+02 9.1676279933e-01 9.2245591055e-01 9.2485492856e-01 9.1888066051e-01 9.1914227674e-01
4.5112781955e+02 9.1596729533e-01 9.2174709099e-01 9.2426308498e-01 9.1828622646e-01 9.1868350325e-01
4.6992481203e+02 9.1513813602e-01 9.2100969736e-01 9.2364681851e-01 9.1767192682e-01 9.1820641595e-01
4.8872180451e+02 9.1427549435e-01 9.2024380926e-01 9.2300646037e-01 9.1703793114e-01 9.1771086116e-01
5.0751879699e+02 9.1337935165e-01 9.1944952177e-01 9.2234200873e-01 9.1638422595e-01 9.1719700157e-01
5.2631578947e+02 9.1245013716e-01 9.1862708412e-01 9.2165365878e-01 9.1571099500e-01 9.1666485739e-01
5.4511278195e+02 9.1148782275e-01 9.1777649525e-01 9.2094156593e-01 9.1501829127e-01 9.1611449477e-01
5.6390977444e+02 9.1049246920e-01 9.1689805218e-01 9.2020584204e-01 9.1430625784e-01 9.1554596514e-01
5.8270676692e+02 9.0946450105e-01 9.1599179209e-01 9.1944673891e-01 9.1357506711e-01 9.1495926382e-01
6.0150375940e+02 9.0840385246e-01 9.1505793064e-01 9.1866443955e-01 9.1282464165e-01 9.1435449033e-01
6.2030075188e+02 9.0731103351e-01 9.1409663249e-01 9.1785901580e-01 9.1205525090e-01 9.1373175054e-01
6.3909774436e+02 9.0618588036e-01 9.1310813213e-01 9.1703070416e-01 9.1126698270e-01 9.1309102471e-01
6.5789473684e+02 9.0502894731e-01 9.1209242722e-01 9.1617968259e-01 9.1045993236e-01 9.1243247913e-01
6.7669172932e+02 9.0384023427e-01 9.1104987708e-01 9.1530602498e-01 9.0963410687e-01 9.1175597040e-01
6.9548872180e+02 9.0261994775e-01 9.0998045448e-01 9.1441018171e-01 9.0878984509e-01 9.1106174892e-01
7.1428571429e+02 9.0136872252e-01 9.0888442456e-01 9.1349210451e-01 9.0792712868e-01 9.1034978478e-01
7.3308270677e+02 9.0008639785e-01 9.0776217253e-01 9.1255203113e-01 9.0704610429e-01 9.0962020485e-01
7.5187969925e+02 8.9877359222e-01 9.0661354441e-01 9.1159016422e-01 9.0614682057e-01 9.0887303654e-01
7.7067669173e+02 8.9743033572e-01 9.0543902226e-01 9.1060676725e-01 9.0522946994e-01 9.0810830553e-01
7.8947368421e+02 8.9605704851e-01 9.0423860679e-01 9.0960192122e-01 9.0429420557e-01 9.0732613569e-01
8.0827067669e+02 8.9465410740e-01 9.0301258569e-01 9.0857590816e-01 9.0334109166e-01 9.0652661960e-01
8.2706766917e+02 8.9322183956e-01 9.0176110284e-01 9.0752880190e-01 9.0237022076e-01 9.0570976681e-01
8.4586466165e+02 8.9176026203e-01 9.0048428465e-01 9.0646092510e-01 9.0138176651e-01 9.0487561834e-01
8.6466165414e+02 8.9026999348e-01 8.9918252554e-01 9.0537239390e-01 9.0037581790e-01 9.0402434032e-01
8.8345864662e+02 8.8875140106e-01 8.9785585765e-01 9.0426353438e-01 8.9935251154e-01 9.0315593349e-01
9.0225563910e+02 8.8720469252e-01 8.9650452885e-01 9.0313439700e-01 8.9831201174e-01 9.0227055655e-01
9.2105263158e+02 8.8563023023e-01 8.9512885632e-01 9.0198517400e-01 8.9725435308e-01 9.0136821215e-01
